sample_id,turn_index,user_text,is_emotional_state,is_technical_request,notes
S0000,0,Help me design a REST API for a todo app.,,,
S0001,0,"I've been so anxious lately, can barely sleep.",,,
S0001,1,What's the difference between a process and a thread?,,,
S0002,0,I'm feeling really overwhelmed today.,,,
S0003,0,Can you review my SQL query for performance?,,,
S0003,1,I just feel hopeless.,,,
S0004,0,What's the time complexity of merge sort?,,,
S0004,1,Honestly I'm just frustrated with everything right now.,,,
S0005,0,What's the weather like in Tokyo in spring?,,,
S0005,1,Tell me about the history of jazz.,,,
S0006,0,Lately I've been feeling pretty low.,,,
S0006,1,What's the correct way to handle exceptions in async code?,,,
S0007,0,I just feel really sad today.,,,
S0008,0,Suggest some easy houseplants for beginners.,,,
S0008,1,Tell me a joke about cats.,,,
S0009,0,I'm just so frustrated I could scream.,,,
S0010,0,I'm feeling super stressed and on edge.,,,
S0011,0,I'm at the end of my rope honestly.,,,
S0011,1,What's the deal with Rust's borrow checker?,,,
S0012,0,How do I write idiomatic error handling in Rust?,,,
S0013,0,I've been feeling really empty.,,,
S0013,1,How do I set up a CI/CD pipeline with GitHub Actions?,,,
S0014,0,How do I write idiomatic error handling in Rust?,,,
S0014,1,I just feel hopeless.,,,
S0015,0,What's the right way to structure a microservices architecture?,,,
S0015,1,I've been crying off and on all morning.,,,
S0016,0,How do I set up a CI/CD pipeline with GitHub Actions?,,,
S0017,0,"I'm spiraling a bit, not gonna lie.",,,
S0018,0,What spices go well with roasted carrots?,,,
S0018,1,What's a good board game for four people?,,,
S0019,0,Tell me a fun fact about octopuses.,,,
S0019,1,Recommend a documentary about space.,,,
S0020,0,I just feel completely burned out.,,,
S0021,0,What's the deal with Rust's borrow checker?,,,
S0022,0,I feel completely defeated.,,,
S0022,1,Can you explain the CAP theorem?,,,
S0023,0,Can you review my SQL query for performance?,,,
S0023,1,I'm really down in the dumps today.,,,
S0024,0,Can you explain the CAP theorem?,,,
S0024,1,I'm at the end of my rope honestly.,,,
S0025,0,I'm so tired of feeling like this.,,,
S0025,1,What's the most efficient way to deduplicate a large list?,,,
S0026,0,Help me design a REST API for a todo app.,,,
S0026,1,Everything feels heavy lately.,,,
S0027,0,I've been crying off and on all morning.,,,
S0028,0,I feel like I'm drowning in my own head.,,,
S0028,1,Can you help me debug this Python function?,,,
S0029,0,I just feel hopeless.,,,
S0029,1,Show me how to implement Dijkstra's algorithm.,,,
S0030,0,Walk me through how a hash map handles collisions.,,,
S0030,1,I'm just so frustrated I could scream.,,,
S0031,0,What's the difference between a process and a thread?,,,
S0032,0,How do I containerize a Node.js application?,,,
S0033,0,I'm having one of those days where nothing feels right.,,,
S0034,0,Lately I've been feeling pretty low.,,,
S0035,0,My stress levels are through the roof.,,,
S0036,0,What's the weather like in Tokyo in spring?,,,
S0036,1,Recommend a hiking trail near Boulder.,,,
S0037,0,I just feel really sad today.,,,
S0037,1,How does a CPU pipeline get stalled?,,,
S0038,0,There's this weight on my chest I can't shake.,,,
S0039,0,What's a good book to read this weekend?,,,
S0039,1,What's a good book to read this weekend?,,,
S0040,0,Tell me about the history of jazz.,,,
S0040,1,Tell me about the Voyager probes.,,,
S0041,0,How do I containerize a Node.js application?,,,
S0041,1,I'm so tired of feeling like this.,,,
S0042,0,Walk me through how a hash map handles collisions.,,,
S0042,1,"Today has been rough, I'm exhausted mentally.",,,
S0043,0,Explain the difference between symmetric and asymmetric encryption.,,,
S0044,0,"Today has been rough, I'm exhausted mentally.",,,
S0044,1,What's the time complexity of merge sort?,,,
S0045,0,How do I write a custom React hook?,,,
S0046,0,What's the canonical way to do dependency management in Go?,,,
S0046,1,"I'm spiraling a bit, not gonna lie.",,,
S0047,0,I'm just so frustrated I could scream.,,,
S0047,1,How do I write idiomatic error handling in Rust?,,,
S0048,0,Show me how to implement Dijkstra's algorithm.,,,
S0049,0,Explain B-tree indexes vs hash indexes.,,,
S0049,1,"Today has been rough, I'm exhausted mentally.",,,
S0050,0,Explain the difference between symmetric and asymmetric encryption.,,,
S0050,1,I'm at the end of my rope honestly.,,,
S0051,0,What's the correct way to handle exceptions in async code?,,,
S0052,0,It's been one of those weeks where I cant catch a break.,,,
S0053,0,Can you explain the CAP theorem?,,,
S0054,0,Suggest a simple stretching routine.,,,
S0054,1,What's a good book to read this weekend?,,,
S0055,0,What's the canonical way to do dependency management in Go?,,,
S0055,1,I just feel completely burned out.,,,
S0056,0,Help me set up Kubernetes ingress with TLS.,,,
S0057,0,What's a good gift for a coworker leaving the company?,,,
S0057,1,What's a good board game for four people?,,,
S0058,0,Explain how virtual memory works in modern OSes.,,,
S0058,1,I'm absolutely miserable right now.,,,
S0059,0,I feel completely defeated.,,,
S0060,0,How does TCP handle congestion control?,,,
S0061,0,Recommend a hiking trail near Boulder.,,,
S0061,1,Recommend a hiking trail near Boulder.,,,
S0062,0,I'm really struggling emotionally right now.,,,
S0062,1,Can you explain dependency injection with an example?,,,
S0063,0,Help me set up Kubernetes ingress with TLS.,,,
S0064,0,How does TCP handle congestion control?,,,
S0065,0,What's a good board game for four people?,,,
S0065,1,Suggest some easy houseplants for beginners.,,,
S0066,0,What's the most efficient way to deduplicate a large list?,,,
S0067,0,Tell me a joke about cats.,,,
S0067,1,What's a good gift for a coworker leaving the company?,,,
S0068,0,Recommend a hiking trail near Boulder.,,,
S0068,1,Suggest some easy houseplants for beginners.,,,
S0069,0,Tell me about the history of jazz.,,,
S0069,1,Whats the capital of Mongolia?,,,
S0070,0,I'm really struggling emotionally right now.,,,
S0071,0,I'm absolutely miserable right now.,,,
S0072,0,What's the canonical way to do dependency management in Go?,,,
S0073,0,Honestly I'm just frustrated with everything right now.,,,
S0074,0,What does the volatile keyword do in C?,,,
S0074,1,I'm really down in the dumps today.,,,
S0075,0,How do I write idiomatic error handling in Rust?,,,
S0075,1,I feel completely defeated.,,,
S0076,0,I just feel really sad today.,,,
S0077,0,Whats the capital of Mongolia?,,,
S0077,1,Suggest some easy houseplants for beginners.,,,
S0078,0,Recommend a documentary about space.,,,
S0078,1,What are some good travel destinations for fall?,,,
S0079,0,Walk me through the OAuth 2.0 flow.,,,
S0080,0,Can you explain dependency injection with an example?,,,
S0081,0,I'm feeling really overwhelmed today.,,,
S0081,1,Walk me through how garbage collection works in the JVM.,,,
S0082,0,Honestly I'm just frustrated with everything right now.,,,
S0082,1,Help me set up Kubernetes ingress with TLS.,,,
S0083,0,I just feel completely burned out.,,,
S0084,0,What movies came out last weekend?,,,
S0084,1,Tell me a fun fact about octopuses.,,,
S0085,0,Give me a recipe that uses chickpeas.,,,
S0085,1,Recommend a hiking trail near Boulder.,,,
S0086,0,Explain the difference between symmetric and asymmetric encryption.,,,
S0086,1,I'm having one of those days where nothing feels right.,,,
S0087,0,I'm feeling super stressed and on edge.,,,
S0087,1,Can you review my SQL query for performance?,,,
S0088,0,What's the weather like in Tokyo in spring?,,,
S0088,1,What's a popular dish in Vietnam?,,,
S0089,0,Can you explain dependency injection with an example?,,,
S0089,1,I've been crying off and on all morning.,,,
S0090,0,I'm so tired of feeling like this.,,,
S0090,1,Help me design a REST API for a todo app.,,,
S0091,0,Walk me through how a hash map handles collisions.,,,
S0092,0,How does HTTPS actually work under the hood?,,,
S0092,1,I just feel completely burned out.,,,
S0093,0,Everything feels heavy lately.,,,
S0093,1,Explain B-tree indexes vs hash indexes.,,,
S0094,0,I've been feeling really empty.,,,
S0094,1,How do I containerize a Node.js application?,,,
S0095,0,Everything feels heavy lately.,,,
S0095,1,How do I write a custom React hook?,,,
S0096,0,Lately I've been feeling pretty low.,,,
S0097,0,Recommend a hiking trail near Boulder.,,,
S0097,1,What movies came out last weekend?,,,
S0098,0,I'm having one of those days where nothing feels right.,,,
S0098,1,Help me design a REST API for a todo app.,,,
S0099,0,I'm just so frustrated I could scream.,,,
